source_code,name,type,area
80101540,COL.CASANDRA,colony,
80101512,COL.DAVID BETANCOURT,colony,
80101554,COL.DE LA VEGA,colony,
80101530,COL.EL CONTADOR,colony,
80101150,COL.EL RETIRO,colony,
80101415,COL.INDEPENDIENTE,colony,
80101543,COL.JESUS AGUILAR PAZ,colony,
80101538,COL.LA LEONESA DEL RINCON,colony,
80101529,COL.LOMA SUR,colony,
80101530,COL.LOMAS DEL LOARQUE,colony,
80101523,COL.LOS ALPES,colony,
80101521,COL.LOS ALPES NO. 2,colony,
80101527,COL.LOS ALPES B/16,colony,
80101246,COL.LOS ROBLES,colony,
80101569,COL.LUIS ANDRES ZUNIGA,colony,
80101534,COL.MARY DE FLORES,colony,
80101514,COL.MONTES DE BENDICION,colony,
80101549,COL.NUEVA EDEN,colony,
80101565,COL.PUENTE DE LOARQUE O COLINA,colony,
80101551,COL.RAMON AMAYA AMADOR NO2,colony,
80101556,COL.SAGASTUME NO.2,colony,
80101555,COL.SANTA ANA,colony,
80101532,COL.SANTA CECILIA,colony,
80101351,COL.VALENCIA,colony,
80101674,COL.VIENA,colony,
801101001,COL.VILLA FORESTA,colony,
80101552,COL.VILLAS COLONIALES ALTOS DE,colony,
80101670,COLONIA PRADOS UNIVERSITARIOS,other,
80122024,CRUCE DE LA CANADA,other,
80103039,CUERO COLGADO,other,
80105003,DESVIO A GUASCULIE,other,
80129003,EL ACEITUNO,other,
80103003,EL AGUACATE,other,
80103004,EL ALAMO,other,
80141004,EL APROBAR,other,
80101591,EL ARCO,other,
80103005,EL BOQUERON,other,
80141005,EL CORBOLLON,other,
80103006,EL CARRIZAL,other,
80122025,EL CERRO,other,
80104003,EL CIRUELO,other,
8015201,EL DURAZNO,other,
80106002,EL ESPINAL,other,
80101592,EL GUANABANO,other,
80101593,EL GUAYABAL,other,
80136019,EL GUAYABO,other,
80140003,EL HIGO,other,
80103040,EL INCIENSIO,other,
80140004,EL JICARO,other,
80140005,EL JUTE O SABANAS DEL TORO,other,
80136006,EL MACUELIZO,other,
80103047,EL MOGOTE,other,
80103009,EL MOZOTAL,other,
80140008,EL NARANJO,other,
80102023,EL OREGANO,other,
80104009,EL OTRO LADO DE LA QDA,other,
80103041,EL PORTILLO,other,
80136007,EL PORTILLO DE LA CRUZ,other,
80137003,EL PORTILLO DEL DURAZNO,other,
80101602,EL QUEBRACHITO,other,
80139003,EL RECREO,other,
80102007,EL REVENTON,other,
80103011,EL RINCON,other,
80103012,EL RODEO,other,
80141010,EL RUSIO,other,
80101595,EL SAUCE,other,
80101604,EL SUYATILLO,other,
80141011,EL TERRERO,other,
80141012,EL TIGRE,other,
80101636,EL TIZATILLO,other,
80101156,EL ZARZAL O BETANIA,other,
80102008,EL ZURZULAR,other,
80101515,ERENDIDA,other,
80104010,FINCA VALENCIA,other,
80101553,I.P.M,other,
80102012,JICARAL,other,
80101584,KUWAIT,other,
80102028,LA CANADA DEL MUERTO,other,
80101568,LA CASCADA,other,
80106003,LA COLMENA,other,
80141015,LA CULEBRA,other,
80103018,LA ESTANCIA,other,
80136009,LA LAGUNITA NO.1,other,
80136010,LA LAGUNITA NO.2,other,
80136011,LA MONTAÑA,other,
80102014,LA PELLEJA,other,
80103023,LA PUERTA,other,
80106006,LA QUESERA,other,
80103024,LA REDONDA,other,
80102029,LA RONCA,other,
80122026,LA VENTA,other,
80102030,LA VUELTA DE LOS LIMONES,other,
80103025,LA VUELTA DEL HORNO,other,
80105002,LAS FLORES,other,
80101581,LAS HADAS II ETAPA,other,
80104004,LAS MARIAS,other,
